ARQUIVO,DIRETORIO,FONTE_RELACIONADA,DESCRICAO,NUM_REGISTROS,NUM_COLUNAS,TAMANHO_BYTES,ULTIMA_ATUALIZACAO
cnes_instituicoes_oncologia.parquet,cnes,CNES - Instituições habilitadas em Oncologia,"Instituições de saúde habilitadas em alta complexidade em oncologia no SUS, uma linha por instituição, com habilitações, tipo, esfera, leitos e localização. ",387,33,89381,02-08-2026 15:40:29
painel_oncologia.parquet,datasus_po,Painel de Oncologia (DATASUS),"Painel de Oncologia (DATASUS): casos oncológicos do SUS desde 2013, com diagnóstico, estadiamento e primeiro tratamento. ",5540120,27,111690106,31-07-2026 01:23:07
siasus_medicamentos_oncologicos.parquet,datasus_siasus,SIASUS - APAC de Medicamentos Oncológicos,"SIASUS: APAC de medicamentos de alto custo com CID principal de neoplasia (C00-D48), desde 2008. ",30454,33,714783,02-08-2026 09:39:29
siasus_quimioterapia.parquet,datasus_siasus,SIASUS - APAC de Quimioterapia,"SIASUS: APAC de quimioterapia do SUS desde 2008, com topografia, estadiamento, linfonodos, grau histopatológico e esquema terapêutico. ",61249962,46,1987521232,01-08-2026 18:15:30
siasus_radioterapia.parquet,datasus_siasus,SIASUS - APAC de Radioterapia,"SIASUS: APAC de radioterapia do SUS desde 2008, com topografia, estadiamento e finalidade (radical/adjuvante/paliativa). ",4033243,44,131247935,01-08-2026 13:40:02
obitos_cancer_cid10.parquet,datasus_sim,"SIM - Óbitos por Câncer, CID-10 (1996-atual_consolidado)","Óbitos por neoplasia maligna (CAUSABAS C00-C97), CID-10 consolidado (1996-atual). ",5094979,26,102183784,26-07-2026 20:05:19
obitos_cancer_cid9.parquet,datasus_sim,"SIM - Óbitos por Câncer, CID-9 (1979-1995)","Óbitos por neoplasia maligna (CAUSABAS 140-208), era CID-9 (1979-1995). ",1281924,22,18257388,26-07-2026 18:10:09
obitos_cancer_prelim.parquet,datasus_sim,"SIM - Óbitos por Câncer, atual_preliminar",Óbitos por câncer (CID-10) dos dados ainda não homologados do ano corrente. ,353466,26,7589581,31-07-2026 01:42:55
obitos_cancer_resumo_anual.parquet,datasus_sim,SIM - Óbitos por Câncer (Resumo Anual),Resumo anual por fonte (CID9/CID10/PRELIM) ,48,7,6646,31-07-2026 01:43:03
cancer_relacionado_ao_trabalho.parquet,datasus_sinan,SINAN - Câncer Relacionado ao Trabalho,"SINAN: notificações de câncer relacionado ao trabalho (agravo C80), com ocupação, situação no mercado de trabalho, exposição ocupacional a agentes cancerígenos (asbesto, sílica, benzeno, radiações, antineoplásicos, etc.) e evolução do caso. ",12766,66,485254,01-08-2026 14:18:43
