arquivo,fonte_id,fonte_nome,descricao,tipo,url_origem,existe,num_registros,tamanho_bytes,data_modificacao,nota
raw_macroregiao_de_saude.parquet,macroregiao_de_saude,Macrorregião de Saúde (geolocalização),"Referência geográfica de municípios -- macrorregião/região de saúde e coordenadas, usada pra cruzar com as demais fontes.",pipeline,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/dbgeral/macroregiao_de_saude_csv.zip,True,5570,366405,2026-07-22 14:26:47,Precisa da planilha 'macro_geolocalizacao.xls' colocada manualmente em data/landing/macroregiao/.
raw_painel_de_oncologia.parquet,painel_oncologia,Painel de Oncologia (DATASUS),"Procedimentos oncológicos realizados no SUS, desde 2013 -- diagnóstico, estadiamento, tratamento.",pipeline,ftp://ftp.datasus.gov.br/dissemin/publicos/PAINEL_ONCOLOGIA/DADOS,True,5540120,112667049,2026-07-22 14:39:51,
raw_sim_obitos_cancer_cid9.parquet,sim_obitos_cancer_cid9,"SIM - Óbitos por Câncer, CID-9 (1979-1995)","Óbitos com causa básica de neoplasia maligna (CAUSABAS 140-208), filtrado direto do SIM/DATASUS.",pipeline,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID9/DORES,True,1281924,19855257,2026-07-22 15:04:41,
raw_sim_obitos_cancer_cid10.parquet,sim_obitos_cancer_cid10,"SIM - Óbitos por Câncer, CID-10 (1996-atual)","Óbitos com causa básica de neoplasia maligna (CAUSABAS C00-C97), filtrado direto do SIM/DATASUS.",pipeline,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES,True,5094979,213376783,2026-07-22 17:24:03,
raw_sim_obitos_cancer_prelim.parquet,sim_obitos_cancer_prelim,"SIM - Óbitos por Câncer, Preliminar","Mesmo filtro do CID-10 consolidado, aplicado aos dados ainda não fechados/homologados do ano corrente.",pipeline,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/PRELIM/DORES,True,0,17062,2026-07-22 17:24:03,Pode legitimamente ter 0 registros entre ciclos de publicação do DATASUS -- não é erro.
raw_cnes_oncologia_instituicoes.parquet,cnes_oncologia_instituicoes,CNES - Instituições com Habilitação em Oncologia,"Estabelecimentos habilitados em Alta Complexidade em Oncologia (UNACON/CACON/etc.), uma linha por instituição, com sinalizador adulto/pediátrico, endereço/geolocalização, contato e classificação administrativa, já cruzado com o cadastro geral do CNES.",pipeline,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/HB,True,387,94057,2026-07-22 17:24:48,O CNES de Estabelecimentos não é mais publicado como raw_*.parquet próprio -- serve só como insumo (lido direto do CSV da Landing) pra enriquecer esta fonte.
raw_inca_cancer_populacional.parquet,inca_cancer_populacional,INCA - Registro de Câncer de Base Populacional (RCBP),Estimativas de incidência de câncer por população.,estatico,https://www.inca.gov.br/BasePopIncidencias/InicioSolicitacaoBaseExterna.action,True,2368916,50486854,2026-07-12 10:26:02,O INCA descontinuou o download integral desta base (arquivo ficou grande demais). Snapshot estático trazido manualmente do dataset já publicado no Kaggle.
raw_inca_registro_hospitalar.parquet,inca_registro_hospitalar,INCA - Registro Hospitalar de Câncer (RHC),"Perfil de atendimento hospitalar de pacientes com câncer, por unidade hospitalar.",estatico,https://irhc.inca.gov.br/RHCNet/,True,5399686,117084218,2026-07-12 10:26:55,Download gerado via formulário JS/sessão (sem URL fixa automatizável). Snapshot estático trazido manualmente do dataset já publicado no Kaggle.
raw_pns_2013_diagnostico_cancer.parquet,pns_2013_diagnostico_cancer,PNS 2013 - Diagnóstico e Tipo de Câncer,"Respondentes com diagnóstico médico de câncer autorreferido, tipo (1 categoria por pessoa), idade no diagnóstico e limitação nas atividades.",pipeline_manual,https://www.ibge.gov.br/estatisticas/sociais/saude/9160-pesquisa-nacional-de-saude.html,True,1023,20846,2026-07-22 17:24:51,Requer data/landing/ibge/PNS_2013.txt baixado manualmente do IBGE.
raw_pns_2019_diagnostico_cancer.parquet,pns_2019_diagnostico_cancer,PNS 2019 - Diagnóstico e Tipo de Câncer,"Mesmo recorte de 2013, mas tipo de câncer é registrado como 16 flags binárias independentes (permite mais de 1 tipo por pessoa); sem variável de idade no diagnóstico (removida nesta edição).",pipeline_manual,https://www.ibge.gov.br/estatisticas/sociais/saude/9160-pesquisa-nacional-de-saude.html,True,2316,47892,2026-07-22 17:24:56,Requer data/landing/ibge/PNS_2019.txt baixado manualmente do IBGE.
